timestamp,X,Y,Z
1764061307794,-0.008142,0.006357,-0.462957
1764061307804,-0.00568,0.010516,-0.447968
1764061307814,-0.002223,0.01228,-0.448463
1764061307824,-0.0039,0.016588,-0.427212
1764061307834,-0.004426,0.023365,-0.409329
1764061307844,-0.004625,0.01583,-0.406707
1764061307854,-0.007394,0.013085,-0.395484
1764061307864,0.000077,0.021452,-0.385819
1764061307874,-0.002005,0.021213,-0.382245
1764061307884,-0.007319,0.006424,-0.390861
1764061307894,-0.004952,0.01553,-0.369439
1764061307904,-0.00386,0.010167,-0.35668
1764061307914,-0.004762,0.017564,-0.329362
1764061307924,-0.00573,0.012358,-0.315904
1764061307934,-0.007983,0.009559,-0.326741
1764061307944,-0.007272,0.009219,-0.317008
1764061307954,-0.008695,0.004943,-0.343291
1764061307964,-0.010376,0.009827,-0.36308
1764061307974,-0.007763,0.012342,-0.353229
1764061307984,-0.006639,0.007068,-0.349857
1764061307994,-0.007768,0.012647,-0.362715
1764061308004,-0.006409,0.010228,-0.390241
1764061308014,-0.003895,0.022508,-0.373114
1764061308024,-0.007302,0.010733,-0.383128
1764061308034,-0.006326,0.018275,-0.37615
1764061308045,-0.007182,0.008922,-0.375995
1764061308055,-0.007518,0.011223,-0.352119
1764061308065,-0.005003,0.01259,-0.353974
1764061308075,-0.005334,0.010617,-0.401636
1764061308085,-0.004433,0.020254,-0.400016
1764061308095,-0.009429,0.002569,-0.39242
1764061308105,-0.005655,0.017238,-0.362123
1764061308115,-0.004869,0.008237,-0.359492
1764061308125,-0.006438,0.009791,-0.369175
1764061308135,-0.005421,0.013885,-0.356539
1764061308145,-0.003072,0.011483,-0.322491
1764061308155,0.003505,0.043896,-0.158752
1764061308165,-0.000999,0.039953,-0.044078
1764061308175,-0.000214,0.030525,-0.029765
1764061308185,-0.003116,0.026039,-0.023955
1764061308195,-0.004402,0.027557,-0.019214
1764061308205,-0.007376,0.016117,-0.015142
1764061308215,-0.010439,0.007928,-0.009733
1764061308225,-0.008925,0.012527,-0.015038
1764061308235,-0.010779,0.002384,-0.010819
1764061308245,-0.011185,0.014605,-0.011818
1764061308255,-0.012894,0.005875,-0.010192
1764061308265,-0.015872,-0.001799,-0.006078
1764061308275,-0.009727,0.012806,-0.012207
1764061308285,-0.011355,0.003873,-0.011078
1764061308295,-0.014502,-0.006136,-0.009128
1764061308305,-0.013203,0.003507,-0.009507
1764061308315,-0.014957,-0.005143,-0.007994
1764061308325,-0.016,-0.003403,-0.008527
1764061308335,-0.018268,-0.008265,-0.009037
1764061308345,-0.026896,-0.032179,-0.010598
1764061308355,-0.032879,-0.048398,-0.011403
1764061308365,-0.028399,-0.036786,-0.008565
1764061308375,-0.026915,-0.03511,-0.006621
1764061308385,-0.020864,-0.021238,-0.005857
1764061308395,-0.005159,0.023383,-0.008795
1764061308405,0.003868,0.04579,-0.009526
1764061308415,-0.010416,0.006814,-0.007981
1764061308425,-0.009787,0.014171,-0.008684
1764061308435,-0.001437,0.038591,-0.013992
1764061308445,-0.002695,0.028636,-0.017502
1764061308455,0.001919,0.042117,-0.015534
1764061308465,0.000914,0.044427,-0.014854
1764061308475,-0.001454,0.035012,-0.016489
1764061308485,0.001324,0.047904,-0.01522
1764061308495,0.002973,0.04628,-0.01733
1764061308505,0.006988,0.057545,-0.017366
1764061308515,-0.001445,0.037929,-0.018066
1764061308525,-0.003158,0.034546,-0.010177
1764061308535,-0.001105,0.0316,-0.012739
1764061308545,-0.003765,0.037235,-0.011336
1764061308555,-0.007171,0.01885,-0.010253
1764061308565,-0.005641,0.027585,-0.011427
1764061308575,-0.006085,0.021552,-0.011566
1764061308585,-0.008752,0.017534,-0.013064
1764061308595,-0.00691,0.022127,-0.018802
1764061308605,-0.006526,0.008822,-0.025177
1764061308615,0.00262,0.036061,-0.060242
1764061308625,-0.008036,0.015334,-0.005189
1764061308635,-0.008824,0.016528,-0.008897
1764061308645,-0.008702,0.013107,-0.008605
1764061308655,-0.015382,0.00576,-0.010014
1764061308665,-0.007587,0.015193,-0.014346
1764061308675,-0.010186,0.002007,-0.014195
1764061308685,-0.009551,0.011033,-0.015293
1764061308695,-0.007475,0.010504,-0.013256
1764061308706,-0.005128,0.021013,-0.021342
1764061308716,-0.003025,0.028649,-0.019525
1764061308726,-0.007366,0.025558,-0.018411
1764061308736,-0.00361,0.030384,-0.019334
1764061308746,-0.004676,0.030162,-0.014784
1764061308756,-0.006245,0.020163,-0.020378
1764061308766,-0.010756,0.001383,-0.013557
1764061308776,-0.011898,0.009801,-0.014696
1764061308786,-0.006108,0.016011,-0.013833
1764061308796,-0.009616,0.010647,-0.016097
1764061308806,-0.007245,0.01432,-0.014949
1764061308816,-0.010684,0.004432,-0.014741
1764061308826,-0.010236,0.010051,-0.015674
1764061308836,-0.012651,0.012631,-0.013914
1764061308846,-0.006735,0.014644,-0.013711
1764061308856,-0.010087,0.008019,-0.013463
1764061308866,-0.009753,0.006857,-0.01329
1764061308876,-0.012782,0.00623,-0.01138
1764061308886,-0.013216,-0.000305,-0.011712
1764061308896,-0.005075,0.02141,-0.012574
1764061308906,-0.021551,-0.008601,-0.009243
1764061308916,-0.011837,-0.003764,-0.010134
1764061308926,-0.01372,0.004849,-0.009891
1764061308936,-0.018317,-0.006642,-0.00059
1764061308946,-0.014749,-0.006588,-0.009359
1764061308956,-0.010154,0.008845,-0.012498
1764061308966,-0.015311,-0.004685,-0.009872
1764061308976,-0.017873,-0.009464,-0.014295
1764061308986,-0.011806,0.004127,-0.013816
1764061308996,-0.00893,0.011562,-0.007549
1764061309006,-0.011297,0.00569,-0.011379
1764061309016,-0.011429,0.005147,-0.00403
1764061309026,-0.015191,0.002441,-0.00556
1764061309036,-0.011077,0.005608,-0.009496
1764061309046,-0.008894,0.012127,-0.008119
1764061309056,-0.009906,0.002724,-0.01401
1764061309066,-0.010022,0.014869,-0.015454
1764061309076,-0.007966,0.015893,-0.011325
1764061309086,-0.015,0.001579,-0.009622
1764061309096,-0.012933,-0.004901,-0.014521
1764061309106,-0.012641,0.005552,-0.009108
1764061309116,-0.009663,0.013281,-0.011017
1764061309126,-0.00763,0.019138,-0.009541
1764061309136,-0.006816,0.016196,-0.008098
1764061309146,-0.009972,0.01457,-0.013095
1764061309156,-0.010643,0.01187,-0.009299
1764061309166,-0.011184,0.010628,-0.009753
1764061309176,-0.009776,0.010909,-0.010785
1764061309186,-0.003273,0.025404,-0.01029
1764061309196,-0.010708,0.01271,-0.014099
1764061309206,-0.008799,0.017591,-0.011212
1764061309216,-0.010073,0.018173,-0.014908
1764061309226,-0.00697,0.021286,-0.012083
